Western-Forest Park,1499
Irving Park-O'Hare,3855
Rockwell,1563
Indiana,872
Pulaski-Cermak,1092
Chicago/Franklin,5531
Grand/Milwaukee,2283
Monroe/Dearborn,5957
Bryn Mawr,4396
Damen-Brown,2264
North/Clybourn,5634
Forest Park,3120
Rosemont,5557
Montrose-Brown,2400
Kedzie-Homan-Forest Park,2048
King Drive,627
Granville,3781
Halsted/63rd,853
Wilson,5376
35-Bronzeville-IIT,2242
Cumberland,3897
Cermak-Chinatown,3778
Central-Evanston,717
Chicago/Milwaukee,3653
Laramie,1256
Cicero-Cermak,1207
Austin-Lake,1717
Central Park,1129
18th,1720
Monroe/State,8995
Clark/Lake,15735
Kedzie-Midway,2692
Loyola,4952
Austin-Forest Park,1736
Irving Park-Brown,2677
Midway Airport,7670
Randolph/Wabash,7011
Halsted-Orange,2416
Washington/Wells,5786
Roosevelt,10662
Diversey,4859
Western-Brown,3698
Clark/Division,7117
Clinton-Forest Park,3094
Lake/State,17863
47th-South Elevated,1301
Paulina,2386
Dempster-Skokie,1563
South Boulevard,693
Grand/State,11363
Pulaski-Forest Park,1736
Oakton-Skokie,677
Harrison,3890
Harlem-Lake,3394
UIC-Halsted,4598
Kostner,457
87th,3607
Damen-Cermak,1312
Quincy/Wells,6130
43rd,1011
Foster,760
California-Cermak,1317
69th,4411
63rd-Dan Ryan,2616
Division/Milwaukee,5424
51st,1045
Addison-O'Hare,2435
Library,3373
Polk,2626
Pulaski-Lake,1579
Central-Lake,1986
Belmont-North Main,11964
Ridgeland,1073
Jefferson Park,5868
Linden,828
Berwyn,3113
Sox-35th-Dan Ryan,4020
State/Lake,8581
Damen/Milwaukee,5798
LaSalle,2541
Davis,3399
Garfield-South Elevated,2653
Conservatory,843
Harlem-Forest Park,1004
95th/Dan Ryan,8894
Howard,5675
Ashland/63rd,1440
Logan Square,6223
47th-Dan Ryan,2556
35th/Archer,2619
East 63rd-Cottage Grove,1258
Montrose-O'Hare,2062
Kedzie-Brown,1823
Adams/Wabash,6688
Oak Park-Forest Park,1509
Washington/Dearborn,9490
Kedzie-Cermak,982
Merchandise Mart,5667
Clinton-Lake,3333
Main,1076
Belmont-O'Hare,4763
Oak Park-Lake,1356
Armitage,3585
Jarvis,1539
Harlem-O'Hare,2549
Fullerton,11588
Addison-North Main,8109
Cicero-Forest Park,1285
Dempster,804
Francisco,1314
Racine,2021
Morgan-Lake,2001
Kedzie-Lake,1412
Garfield-Dan Ryan,2971
California-Lake,973
Southport,2895
Ashland-Lake,2151
Thorndale,2721
Western/Milwaukee,4689
California/Milwaukee,4162
Kimball,3568
Chicago/State,14256
Western-Cermak,1053
54th/Cermak,1890
Pulaski-Orange,4263
Morse,4394
Sedgwick,3363
Wellington,2536
Cermak-McCormick Place,1118
Western-Orange,3423
Ashland-Orange,1409
Cicero-Lake,1318
LaSalle/Van Buren,2190
O'Hare Airport,10190
Madison/Wabash,3542
Noyes,704
Sheridan,5005
Jackson/State,9149
Addison-Brown,2068
Jackson/Dearborn,6561
79th,5899
Argyle,2867
Medical Center,2823
Lawrence,3077
